LocalTime;T;Po;P;Pa;U;DD
05.10.2020 11:00;17.3;756.4;757.7;;79;Ветер
05.10.2020 08:00;10.5;757.6;758.8;;98;Ветер
05.10.2020 05:00;10.2;757.8;759.1;;98;Ветер
05.10.2020 02:00;10.6;757.5;758.8;;97;Ветер
04.10.2020 23:00;11.7;755.9;757.2;;95;Ветер
04.10.2020 20:00;16.1;752.5;753.7;;90;Ветер
04.10.2020 17:00;20.2;748.6;749.8;;71;Ветер
04.10.2020 14:00;23.3;748.3;749.5;;57;Ветер
04.10.2020 11:00;19.4;749.4;750.6;;70;Ветер
04.10.2020 08:00;17.6;749.2;750.4;;78;Ветер
04.10.2020 05:00;17;749.8;751;;81;Ветер
04.10.2020 02:00;17;750.7;752;;78;Ветер
03.10.2020 23:00;17.7;751.2;752.5;;76;Ветер
03.10.2020 20:00;16.6;752.1;753.4;;81;Ветер
03.10.2020 17:00;17.8;752.6;753.9;;78;Ветер
03.10.2020 14:00;17.2;753.4;754.7;;81;Ветер
03.10.2020 11:00;14.5;755.2;756.4;;90;Ветер
03.10.2020 08:00;13.7;755.6;756.9;;91;Ветер
03.10.2020 05:00;13.6;756.4;757.6;;91;Ветер
03.10.2020 02:00;12.9;757;758.2;;91;Ветер
02.10.2020 23:00;12.9;757.3;758.6;;92;Ветер
02.10.2020 20:00;14.5;757.7;759;;81;Ветер
02.10.2020 17:00;15.8;756.7;758;;76;Ветер
02.10.2020 14:00;17.3;756.4;757.6;;70;Ветер
02.10.2020 11:00;14.6;756.7;757.9;;77;Ветер
02.10.2020 08:00;12;756.4;757.7;;85;Ветер
02.10.2020 05:00;11.8;755.8;757.1;;87;Ветер
02.10.2020 02:00;12.3;756.1;757.3;;86;Ветер
01.10.2020 23:00;13.9;756.1;757.3;;80;Ветер
01.10.2020 20:00;15.6;755.7;757;;72;Ветер
01.10.2020 17:00;17.3;755;756.3;;63;Ветер
01.10.2020 14:00;17.6;754.9;756.2;;62;Ветер
01.10.2020 11:00;15.2;755.8;757;;72;Ветер
01.10.2020 08:00;11;756.7;757.9;;93;Ветер
01.10.2020 05:00;11;757;758.2;;94;Ветер
01.10.2020 02:00;12.8;757.9;759.1;;90;Ветер
30.09.2020 23:00;14;758.7;760;;86;Ветер
30.09.2020 20:00;15.4;759.1;760.3;;78;Ветер
30.09.2020 17:00;16.8;758.9;760.2;;70;Ветер
30.09.2020 14:00;17.2;759.4;760.7;;70;Ветер
30.09.2020 11:00;15.7;760.8;762.1;;70;Ветер
30.09.2020 08:00;10.4;761.2;762.4;;91;Ветер
30.09.2020 05:00;8.9;761.1;762.4;;95;Ветер
30.09.2020 02:00;11.1;761.4;762.7;;90;Ветер
29.09.2020 23:00;10.8;761.5;762.7;;91;Ветер
29.09.2020 20:00;13.8;761.4;762.7;;82;Ветер
29.09.2020 17:00;17.3;760.7;762;;76;Ветер
29.09.2020 14:00;19.1;760.8;762.1;;64;Ветер
29.09.2020 11:00;15.4;761.5;762.7;;69;Ветер
29.09.2020 08:00;7.5;761;762.3;;95;Ветер
29.09.2020 05:00;5.9;761.3;762.7;;97;Ветер
29.09.2020 02:00;6;761.6;763;;95;Ветер
28.09.2020 23:00;8;762;763.3;;92;Ветер
28.09.2020 20:00;10.2;761.7;763;;86;Ветер
28.09.2020 17:00;16.3;761;762.3;;59;Ветер
28.09.2020 14:00;16.9;761.1;762.4;;57;Ветер
28.09.2020 11:00;14.5;761.1;762.4;;72;Ветер
28.09.2020 08:00;10.1;760.1;761.4;;89;Ветер
28.09.2020 05:00;10.9;758.2;759.5;;86;Ветер
28.09.2020 02:00;11.3;757.6;758.9;;86;Ветер
27.09.2020 23:00;15.4;755.4;756.7;;83;Ветер
27.09.2020 20:00;17.6;753.6;754.9;;78;Ветер
27.09.2020 14:00;23;750.6;751.8;;54;Ветер
27.09.2020 11:00;20.8;750.8;752;;60;Ветер
27.09.2020 08:00;16.6;750;751.3;;71;Ветер
27.09.2020 05:00;16.6;749.7;751;;73;Ветер
27.09.2020 02:00;17.9;749.8;751.1;;75;Ветер
26.09.2020 23:00;19.3;749.4;750.6;;70;Ветер
26.09.2020 20:00;20.2;748.3;749.5;;65;Ветер
26.09.2020 17:00;23.8;746.8;748;;58;Ветер
26.09.2020 14:00;23.1;746.4;747.6;;64;Ветер
26.09.2020 11:00;20.5;746.6;747.8;;73;Ветер
26.09.2020 08:00;16.6;746.8;748.1;;88;Ветер
26.09.2020 05:00;16.6;746.8;748.1;;86;Ветер
26.09.2020 02:00;17.5;747.3;748.6;;82;Ветер
25.09.2020 23:00;18;747.6;748.9;;80;Ветер
25.09.2020 20:00;18.3;748;749.2;;80;Ветер
25.09.2020 17:00;22;748.5;749.7;;66;Ветер
25.09.2020 14:00;23.4;749.7;750.9;;63;Ветер
25.09.2020 11:00;21;751.3;752.5;;76;Ветер
25.09.2020 08:00;13.8;752.2;753.4;;98;Ветер
25.09.2020 05:00;12.1;752.8;754;;98;Ветер
25.09.2020 02:00;13.8;753.2;754.5;;97;Ветер
24.09.2020 23:00;16.8;753.6;754.9;;89;Ветер
24.09.2020 20:00;18.1;753.2;754.5;;85;Ветер
24.09.2020 17:00;22.3;752.8;754;;70;Ветер
24.09.2020 14:00;24.1;752.8;754;;60;Ветер
24.09.2020 11:00;19.6;753;754.3;;76;Ветер
24.09.2020 08:00;13.3;752.6;753.9;;92;Ветер
24.09.2020 05:00;12.3;752.8;754;;93;Ветер
24.09.2020 02:00;14;753.4;754.6;;88;Ветер
23.09.2020 23:00;15.1;753.8;755.1;;86;Ветер
23.09.2020 20:00;17.4;753.9;755.2;;78;Ветер
23.09.2020 17:00;24;754;755.2;;58;Ветер
23.09.2020 14:00;25.3;754.6;755.8;;47;Ветер
23.09.2020 11:00;21.3;755.3;756.5;;62;Ветер
23.09.2020 08:00;14.3;755.5;756.7;;87;Ветер
23.09.2020 05:00;12.6;755.6;756.9;;90;Ветер
23.09.2020 02:00;13;756.5;757.8;;89;Ветер
22.09.2020 23:00;14.2;757.1;758.4;;87;Ветер
22.09.2020 20:00;16.7;757.6;758.9;;81;Ветер
22.09.2020 17:00;23.2;758.3;759.5;;60;Ветер
22.09.2020 14:00;22.5;759.8;761.1;;53;Ветер
22.09.2020 11:00;17.1;760.4;761.7;;79;Ветер
22.09.2020 08:00;10.2;760.6;761.8;;98;Штиль
22.09.2020 05:00;6.5;760.6;762;;99;Ветер
22.09.2020 02:00;7.3;761.2;762.4;;99;Ветер
21.09.2020 23:00;8.5;761.7;763;;97;Ветер
21.09.2020 20:00;10.7;762.4;763.7;;92;Штиль
21.09.2020 17:00;20.7;763;764.2;;55;Штиль
21.09.2020 14:00;21.3;763.6;764.8;;45;Ветер
21.09.2020 11:00;18.7;764.5;765.7;;64;Ветер
21.09.2020 08:00;10.2;764.3;765.6;;99;Штиль
21.09.2020 05:00;7.3;764.5;765.8;;99;Ветер
21.09.2020 02:00;6.9;764.7;766;;99;Штиль
20.09.2020 23:00;9.8;765;766.3;;98;Ветер
20.09.2020 20:00;12;765.3;766.6;;96;Ветер
20.09.2020 17:00;17.4;765.4;766.6;;76;Ветер
20.09.2020 14:00;16.4;766.7;768;;80;Ветер
20.09.2020 11:00;12.2;767.3;768.6;;98;Ветер
20.09.2020 08:00;10.4;767.1;768.4;;98;Ветер
20.09.2020 05:00;10.2;766.9;768.2;;99;Штиль
20.09.2020 02:00;7.1;766.7;768.1;;98;Ветер
19.09.2020 23:00;8.6;766.7;768.1;;97;Штиль
19.09.2020 20:00;12.1;766.6;767.8;;93;Штиль
19.09.2020 17:00;16.6;766.5;767.8;;79;Ветер
19.09.2020 14:00;17.8;766.6;767.8;;69;Ветер
19.09.2020 11:00;16.4;767.2;768.4;;76;Ветер
19.09.2020 08:00;11;766.9;768.2;;94;Ветер
19.09.2020 05:00;8.5;766.6;768;;95;Ветер
19.09.2020 02:00;7.8;767.5;768.8;;95;Ветер
18.09.2020 23:00;8.7;768.3;769.6;;95;Ветер
18.09.2020 20:00;10.1;768.2;769.5;;83;Ветер
18.09.2020 17:00;15.9;768.6;769.9;;54;Ветер
18.09.2020 14:00;16.9;769.1;770.4;;53;Ветер
18.09.2020 08:00;11.2;768.4;769.6;;81;Ветер
18.09.2020 02:00;10.4;768;769.3;;78;Ветер
17.09.2020 23:00;11;768.1;769.4;;76;Ветер
17.09.2020 20:00;11.5;768;769.3;;75;Ветер
17.09.2020 17:00;12.5;767.2;768.5;;70;Ветер
17.09.2020 14:00;14.7;766.4;767.7;;59;Ветер
17.09.2020 11:00;11.8;765;766.3;;86;Ветер
17.09.2020 08:00;11.6;762.8;764.1;;78;Ветер
17.09.2020 05:00;12.1;760.8;762.1;;94;Ветер
17.09.2020 02:00;16.3;758.2;759.5;;90;Ветер
16.09.2020 23:00;15.4;758;759.3;;93;Ветер
16.09.2020 20:00;18.8;758.2;759.4;;81;Ветер
16.09.2020 17:00;24.8;757.9;759.1;;64;Ветер
16.09.2020 14:00;27.1;759;760.2;;56;Ветер
16.09.2020 11:00;24.4;760.4;761.6;;65;Ветер
16.09.2020 08:00;16.6;761.6;762.9;;88;Ветер
16.09.2020 05:00;13.6;762.9;764.2;;94;Ветер
16.09.2020 02:00;13.7;764.3;765.6;;95;Ветер
15.09.2020 23:00;15.7;764.9;766.2;;93;Ветер
15.09.2020 20:00;18.9;765.6;766.9;;89;Ветер
15.09.2020 17:00;25.8;766.3;767.5;;62;Ветер
15.09.2020 14:00;26.1;767.5;768.7;;54;Ветер
15.09.2020 11:00;22.4;768.5;769.8;;64;Ветер
15.09.2020 08:00;12.9;768.3;769.6;;98;
15.09.2020 05:00;11.4;768.4;769.7;;98;
15.09.2020 02:00;11.7;768.7;770;;98;
14.09.2020 23:00;11.1;769;770.2;;97;
14.09.2020 20:00;14.6;768.7;770;;96;
14.09.2020 17:00;20;768.8;770.1;;73;
14.09.2020 14:00;17.3;769.1;770.4;;86;
14.09.2020 11:00;17.1;768.4;769.6;;87;
14.09.2020 08:00;16.5;767;768.3;;89;
14.09.2020 05:00;14.4;766.4;767.7;;83;
14.09.2020 02:00;15.3;766;767.3;;75;
13.09.2020 23:00;14.6;766.3;767.6;;78;
13.09.2020 20:00;14;766.6;767.9;;90;
13.09.2020 17:00;16.3;766.4;767.7;;80;
13.09.2020 14:00;17.9;766;767.3;;65;
13.09.2020 11:00;17.2;765.5;766.8;;73;
13.09.2020 08:00;14.7;764.2;765.5;;88;
13.09.2020 05:00;13;762.9;764.2;;91;
13.09.2020 02:00;14.7;761.8;763.1;;89;
12.09.2020 23:00;14.7;761.2;762.4;;83;
12.09.2020 20:00;15.5;760.6;761.9;;86;
12.09.2020 17:00;22.1;760.5;761.8;;61;
12.09.2020 14:00;21.9;761.4;762.7;;55;
12.09.2020 11:00;18.4;762.7;763.9;;65;
12.09.2020 08:00;10.4;763.2;764.5;;91;
12.09.2020 05:00;6.4;763.4;764.8;;96;
12.09.2020 02:00;8;763.3;764.5;;95;
11.09.2020 23:00;8.6;763.5;764.8;;94;
11.09.2020 20:00;11;763.3;764.5;;90;
11.09.2020 17:00;17.6;763.2;764.5;;55;
11.09.2020 14:00;17.8;763.7;765;;60;
11.09.2020 11:00;16.4;763.9;765.2;;67;
11.09.2020 08:00;10.4;763.5;764.8;;92;
11.09.2020 05:00;8.6;763;764.3;;97;
11.09.2020 02:00;10.4;762.7;764;;95;
10.09.2020 23:00;9.3;762.7;763.9;;95;
10.09.2020 20:00;11.7;761.9;763.2;;88;
10.09.2020 17:00;15.4;761.3;762.6;;63;
10.09.2020 14:00;16.7;760.4;761.7;;57;
10.09.2020 11:00;16.6;759;760.3;;59;
10.09.2020 08:00;14.6;757.3;758.6;;81;
10.09.2020 05:00;12.9;756.4;757.6;;87;
10.09.2020 02:00;16.1;755.8;757.1;;93;
09.09.2020 23:00;17.7;756.2;757.5;;82;
09.09.2020 20:00;16.2;757.8;759.1;;83;
09.09.2020 17:00;18.6;759.6;760.9;;71;
09.09.2020 14:00;21;761.5;762.7;;64;
09.09.2020 11:00;18.1;762.7;764;;76;
09.09.2020 08:00;15.4;762.9;764.2;;91;
09.09.2020 05:00;12.5;762.9;764.2;;94;
09.09.2020 02:00;14.8;762.7;764;;82;
08.09.2020 23:00;16.3;762.1;763.3;;89;
08.09.2020 20:00;16.6;761.7;763;;85;
08.09.2020 17:00;15.3;761.6;762.9;;89;
08.09.2020 14:00;16.8;761.7;763;;73;
08.09.2020 11:00;13.6;763.5;764.8;;88;
08.09.2020 08:00;12.5;764.3;765.6;;86;
08.09.2020 05:00;10.7;764.6;765.9;;94;
08.09.2020 02:00;10.4;764.6;765.9;;94;
07.09.2020 23:00;11.6;764.6;765.9;;96;
07.09.2020 20:00;12.4;764.2;765.4;;91;
07.09.2020 17:00;15.9;763.8;765.1;;66;
07.09.2020 14:00;17.4;763.3;764.5;;65;
07.09.2020 11:00;16.4;762.9;764.2;;72;
07.09.2020 08:00;10.5;762.5;763.8;;94;
07.09.2020 02:00;10.3;761.9;763.2;;95;
06.09.2020 02:00;13.7;759.1;760.4;;96;
05.09.2020 23:00;14.1;759;760.3;;95;
05.09.2020 20:00;15.5;758.5;759.7;;93;
05.09.2020 17:00;17.3;758.2;759.5;;94;
05.09.2020 14:00;15.8;758.9;760.2;;96;
05.09.2020 11:00;20.2;759.6;760.9;;71;
05.09.2020 08:00;13.9;761;762.3;;98;
05.09.2020 05:00;12.3;761.7;763;;98;
05.09.2020 02:00;13.4;762.1;763.4;;98;
04.09.2020 23:00;13.6;762.5;763.8;;98;
04.09.2020 20:00;15.4;762.7;763.9;;96;
04.09.2020 17:00;16.3;762.4;763.7;;95;
04.09.2020 14:00;17.6;762.3;763.6;;80;
04.09.2020 11:00;16.5;762.3;763.6;;83;
04.09.2020 08:00;13.7;762.3;763.6;;91;
04.09.2020 05:00;10.8;762.5;763.8;;97;
04.09.2020 02:00;11.4;763.3;764.5;;97;
03.09.2020 23:00;12.9;763;764.3;;96;
03.09.2020 20:00;15.2;762.2;763.5;;94;
03.09.2020 17:00;16.4;761.2;762.4;;83;
03.09.2020 14:00;17.9;760.9;762.1;;71;
03.09.2020 11:00;18.1;760.8;762.1;;69;
03.09.2020 08:00;13.1;760.6;761.9;;91;
03.09.2020 05:00;11.6;760.7;762;;96;
03.09.2020 02:00;14.6;760.4;761.7;;94;
02.09.2020 23:00;15;760.2;761.5;;94;
02.09.2020 20:00;16.9;759.6;760.9;;94;
02.09.2020 14:00;16.6;759.1;760.3;;91;
02.09.2020 11:00;14.2;759.2;760.5;;95;
02.09.2020 08:00;13.4;759.3;760.6;;94;
02.09.2020 05:00;13.7;760;761.2;;90;
02.09.2020 02:00;13.6;760.4;761.7;;87;
01.09.2020 23:00;13.8;761.2;762.4;;79;
01.09.2020 20:00;14;761.4;762.7;;79;
01.09.2020 14:00;18.3;761.8;763.1;;56;
01.09.2020 11:00;17.5;762;763.3;;62;
01.09.2020 08:00;12.9;762.1;763.4;;95;
01.09.2020 05:00;8.5;761.7;763;;98;
01.09.2020 02:00;11.4;761.4;762.7;;96;
31.08.2020 23:00;11.7;760.9;762.1;;96;
31.08.2020 20:00;14;759.8;761.1;;91;
31.08.2020 14:00;17.2;757;758.3;;77;
31.08.2020 11:00;15.9;755.2;756.5;;88;
31.08.2020 08:00;15.7;753.9;755.2;;96;
31.08.2020 05:00;14.9;754;755.2;;96;
31.08.2020 02:00;15.9;754.4;755.7;;91;
30.08.2020 23:00;16.8;755;756.3;;88;
30.08.2020 20:00;17.5;755.7;757;;86;
30.08.2020 17:00;21.3;756.3;757.6;;64;
30.08.2020 14:00;20.4;756.6;757.9;;66;
30.08.2020 11:00;18.7;756.4;757.6;;83;
30.08.2020 08:00;14.6;756.1;757.4;;97;
30.08.2020 05:00;12.4;755.8;757.1;;98;
30.08.2020 02:00;12.2;755.4;756.7;;98;
29.08.2020 23:00;14.6;754.9;756.2;;96;
29.08.2020 20:00;16.8;754;755.2;;88;
29.08.2020 17:00;20;752.3;753.5;;81;
29.08.2020 14:00;19.2;751.8;753.1;;83;
29.08.2020 11:00;16.3;751.6;752.9;;92;
29.08.2020 08:00;14.3;752.4;753.7;;96;
29.08.2020 05:00;13.8;753.4;754.7;;96;
29.08.2020 02:00;14.3;754.3;755.5;;88;
28.08.2020 23:00;13.8;755.1;756.4;;87;
28.08.2020 20:00;15.3;755.3;756.6;;77;
28.08.2020 17:00;19.1;755.6;756.9;;58;
28.08.2020 14:00;19.2;756.3;757.6;;54;
28.08.2020 11:00;17;756.4;757.7;;65;
28.08.2020 08:00;15.2;756.3;757.6;;88;
28.08.2020 05:00;9.6;755.9;757.2;;97;
28.08.2020 02:00;12.5;755.6;756.9;;91;
27.08.2020 23:00;15;755.1;756.4;;87;
27.08.2020 20:00;16.9;753.8;755.1;;84;
27.08.2020 17:00;19;752.3;753.6;;79;
27.08.2020 14:00;19;751;752.3;;86;
27.08.2020 11:00;17.1;749.2;750.4;;93;
27.08.2020 08:00;17.1;749.2;750.4;;93;
27.08.2020 05:00;14.7;748.3;749.6;;97;
27.08.2020 02:00;15;748.5;749.8;;96;
26.08.2020 23:00;15.1;749.2;750.4;;95;
26.08.2020 20:00;15.1;749.4;750.7;;96;
26.08.2020 17:00;19;748.6;749.8;;82;
26.08.2020 14:00;15.6;749.8;751.1;;94;Ветер
26.08.2020 11:00;14.8;751.3;752.5;;91;Ветер
26.08.2020 08:00;13.8;752.8;754.1;;90;Ветер
26.08.2020 05:00;11.7;754.6;755.8;;97;Ветер
26.08.2020 02:00;11.9;755.9;757.2;;95;Ветер
25.08.2020 23:00;13.1;756.7;758;;94;
25.08.2020 20:00;15.5;756.5;757.8;;82;
25.08.2020 17:00;18.6;756.3;757.6;;68;
25.08.2020 14:00;20.3;755.9;757.2;;60;
25.08.2020 11:00;18.6;756;757.3;;68;
25.08.2020 08:00;15.4;756;757.3;;86;
25.08.2020 05:00;13.1;755.9;757.2;;94;
25.08.2020 02:00;13.7;756.7;758;;95;
24.08.2020 23:00;14;757.6;758.9;;94;
24.08.2020 20:00;17.2;757.8;759.1;;81;
24.08.2020 17:00;21.2;757.6;758.9;;62;
24.08.2020 14:00;22;757.8;759;;58;
24.08.2020 11:00;21.1;757.4;758.7;;62;
24.08.2020 08:00;17.3;757;758.3;;84;
24.08.2020 05:00;13;756.8;758.1;;96;
24.08.2020 02:00;13.4;756.7;758;;97;
23.08.2020 23:00;14.4;757.2;758.5;;93;
23.08.2020 20:00;17.5;757;758.2;;80;
23.08.2020 17:00;23;756.6;757.8;;59;
23.08.2020 14:00;22.6;757.2;758.4;;69;
23.08.2020 11:00;20.7;757.7;759;;83;
23.08.2020 08:00;19;757.6;758.8;;98;
23.08.2020 05:00;17.3;757.5;758.8;;97;
23.08.2020 02:00;19;757.6;758.9;;95;
22.08.2020 23:00;19.4;757.6;758.8;;93;
22.08.2020 20:00;20;757.6;758.9;;93;
22.08.2020 17:00;23.8;757.9;759.1;;71;
22.08.2020 14:00;27.1;757.2;758.4;;63;
22.08.2020 11:00;25.6;757.6;758.8;;60;
22.08.2020 08:00;20.5;758.2;759.4;;71;
22.08.2020 05:00;19.4;758.9;760.2;;76;
22.08.2020 02:00;20.5;759.7;760.9;;73;
21.08.2020 23:00;20.9;759.6;760.9;;75;
21.08.2020 20:00;22.3;759.8;761.1;;73;
21.08.2020 17:00;27.1;759.9;761.1;;50;
21.08.2020 14:00;26.2;760.6;761.8;;56;
21.08.2020 11:00;24;760.7;761.9;;59;
21.08.2020 08:00;18;760.6;761.9;;98;
21.08.2020 05:00;16.2;760.3;761.5;;98;
21.08.2020 02:00;16.8;759.9;761.2;;98;
20.08.2020 23:00;17.5;759.4;760.7;;97;
20.08.2020 20:00;20.1;758.9;760.2;;93;
20.08.2020 17:00;23.9;758.2;759.4;;69;
20.08.2020 14:00;20.3;757.9;759.2;;89;
20.08.2020 11:00;23.8;757.2;758.4;;71;
20.08.2020 08:00;17.4;756.4;757.7;;98;
20.08.2020 05:00;15.8;755.6;756.9;;99;
20.08.2020 02:00;16.4;755.2;756.5;;96;
19.08.2020 23:00;17.7;755.2;756.4;;93;
19.08.2020 20:00;20;754.8;756.1;;83;
19.08.2020 17:00;23.2;754.6;755.8;;64;
19.08.2020 14:00;24.1;754.6;755.8;;65;
19.08.2020 11:00;21.6;754.6;755.8;;71;
19.08.2020 08:00;17.6;754.6;755.8;;81;
19.08.2020 05:00;15;754.3;755.6;;90;
19.08.2020 02:00;14.5;754.6;755.8;;86;
18.08.2020 23:00;17.5;754.6;755.8;;70;
18.08.2020 20:00;18.6;754.9;756.2;;72;
18.08.2020 17:00;20;755.5;756.7;;72;
18.08.2020 14:00;16.5;756.2;757.5;;85;
18.08.2020 11:00;16.6;756.7;758.1;;80;
18.08.2020 08:00;16;757;758.3;;93;
18.08.2020 05:00;16.2;757.7;759;;94;
18.08.2020 02:00;17.5;757.9;759.2;;89;
17.08.2020 23:00;21;757.9;759.2;;73;
17.08.2020 20:00;23.3;757.6;758.8;;62;
17.08.2020 17:00;27.1;758.2;759.4;;46;
